,,,,,,,,,,,,
,Accounts Verification (Billing),,,,,,,,,,,
,As of 2026-05-16 18:33:45 Pacific Standard Time/PST • Generated by Kumba Ndure,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Filtered By,,,,,,,,,,,
,Show: My accounts,,,,,,,,,,,
,Date Field: Created Date equals Custom (4/21/2026 to null),,,,,,,,,,,
,,,,,,,,,,,,
,Billing Country  ↑,Industry  ↑,Account Tier  ↑,,Account Name,Type,Billing City,Billing State/Province,Account ID,Full Salesforce ID,Annual Revenue,
,Belgium,Retail,Mid-Market,,Streethex,Customer,Wallonia,,001NS00002gwSMj,001NS00002gwSMjYAM,"$98,004,378",
,,,,,Streethex,Customer,Wallonia,,001NS00002gwqeB,001NS00002gwqeBYAQ,"$98,004,378",
,,,Subtotal,Sum,,,,,,,"$196,008,756",
,,,,Count,2,,,,,,,
,,Subtotal,,Sum,,,,,,,"$196,008,756",
,,,,Count,2,,,,,,,
,Subtotal,,,Sum,,,,,,,"$196,008,756",
,,,,Count,2,,,,,,,
,Brazil,Entertainment,Enterprise,,Delta Second LLC,Partner,Uberlândia,Minas Gerais,001NS00002gm2cO,001NS00002gm2cOYAQ,"$308,344,236",
,,,,,Miracle Second LP,Competitor,Belo Horizonte,Minas Gerais,001NS00002gm2nx,001NS00002gm2nxYAA,"$667,099,291",
,,,,,Pioneer Third Industries,Competitor,São Paulo,São Paulo,001NS00002gm2v6,001NS00002gm2v6YAA,"$569,040,230",
,,,,,United Fourth Consulting,Prospect,Belo Horizonte,Minas Gerais,001NS00002gm37f,001NS00002gm37fYAA,"$553,447,152",
,,,Subtotal,Sum,,,,,,,"$2,097,930,909",
,,,,Count,4,,,,,,,
,,Subtotal,,Sum,,,,,,,"$2,097,930,909",
,,,,Count,4,,,,,,,
,,Finance,Enterprise,,Right Fifth Logistics,Competitor,Petrópolis,Rio de Janeiro,001NS00002gm35H,001NS00002gm35HYAQ,"$567,087,430",
,,,Subtotal,Sum,,,,,,,"$567,087,430",
,,,,Count,1,,,,,,,
,,Subtotal,,Sum,,,,,,,"$567,087,430",
,,,,Count,1,,,,,,,
,,Retail,Enterprise,,Apex First Holdings,Competitor,Juiz de For a,Minas Gerais,001NS00002gm2V9,001NS00002gm2V9YAI,"$383,833,603",
,,,,,Fusion Second Enterprises,Partner,Campinas,São Paulo,001NS00002gm2hM,001NS00002gm2hMYAQ,"$792,197,983",
,,,,,Global Fourth Holdings,Competitor,Campinas,São Paulo,001NS00002gm2iN,001NS00002gm2iNYAQ,"$262,714,116",
,,,,,Miracle First LLP,Prospect,Uberlândia,Minas Gerais,001NS00002gm2oj,001NS00002gm2ojYAA,"$554,831,486",
,,,Subtotal,Sum,,,,,,,"$1,993,577,188",
,,,,Count,4,,,,,,,
,,Subtotal,,Sum,,,,,,,"$1,993,577,188",
,,,,Count,4,,,,,,,
,,Telecommunications,Enterprise,,Blue Third Dynamics,Competitor,Santos,São Paulo,001NS00002gm2bV,001NS00002gm2bVYAQ,"$648,912,473",
,,,,,NextGen Fifth Inc.,Partner,São José dos Campos,São Paulo,001NS00002gm2pS,001NS00002gm2pSYAQ,"$516,693,143",
,,,,,NextGen Fourth Industries,Competitor,Uberlândia,Minas Gerais,001NS00002gm2pY,001NS00002gm2pYYAQ,"$730,942,981",
,,,,,Quantum First Ventures,Prospect,São Paulo,São Paulo,001NS00002gm2zj,001NS00002gm2zjYAA,"$540,388,280",
,,,Subtotal,Sum,,,,,,,"$2,436,936,877",
,,,,Count,4,,,,,,,
,,Subtotal,,Sum,,,,,,,"$2,436,936,877",
,,,,Count,4,,,,,,,
,,software,Enterprise,,Fusion Fourth Logistics,Competitor,Rio de Janeiro,Rio de Janeiro,001NS00002gm2ht,001NS00002gm2htYAA,"$981,309,626",
,,,,,Golden Second Consulting,Competitor,Petrópolis,Rio de Janeiro,001NS00002gm2mf,001NS00002gm2mfYAA,"$814,412,909",
,,,,,Right First Solutions,Competitor,Contagem,Minas Gerais,001NS00002gm34z,001NS00002gm34zYAA,"$638,671,879",
,,,Subtotal,Sum,,,,,,,"$2,434,394,414",
,,,,Count,3,,,,,,,
,,Subtotal,,Sum,,,,,,,"$2,434,394,414",
,,,,Count,3,,,,,,,
,,services,Mid-Market,,Nam-zim,Customer,Campinas,São Paulo,001NS00002gm2UW,001NS00002gm2UWYAY,"$34,044,766",
,,,Subtotal,Sum,,,,,,,"$34,044,766",
,,,,Count,1,,,,,,,
,,,Enterprise,,Atlas Fourth Services,Competitor,Juiz de For a,Minas Gerais,001NS00002gm2W8,001NS00002gm2W8YAI,"$951,654,420",
,,,Subtotal,Sum,,,,,,,"$951,654,420",
,,,,Count,1,,,,,,,
,,Subtotal,,Sum,,,,,,,"$985,699,186",
,,,,Count,2,,,,,,,
,,medical,Mid-Market,,Summit Second Consulting,Competitor,Rio de Janeiro,Rio de Janeiro,001NS00002gm37C,001NS00002gm37CYAQ,"$203,298,766",
,,,Subtotal,Sum,,,,,,,"$203,298,766",
,,,,Count,1,,,,,,,
,,,Enterprise,,Equinox Third Industries,Prospect,Belo Horizonte,Minas Gerais,001NS00002gm2cR,001NS00002gm2cRYAQ,"$695,922,146",
,,,,,Global Third Systems,Prospect,São José dos Campos,São Paulo,001NS00002gm2j2,001NS00002gm2j2YAA,"$316,185,072",
,,,,,Quantum First Inc.,Competitor,Belo Horizonte,Minas Gerais,001NS00002gm2z7,001NS00002gm2z7YAA,"$847,003,297",
,,,,,Summit Third Corp,Competitor,Campinas,São Paulo,001NS00002gm36m,001NS00002gm36mYAA,"$752,351,044",
,,,,,Summit Second Dynamics,Partner,Duque de Caxias,Rio de Janeiro,001NS00002gm36w,001NS00002gm36wYAA,"$330,863,795",
,,,,,Summit Third Enterprises,Competitor,Rio de Janeiro,Rio de Janeiro,001NS00002gm37D,001NS00002gm37DYAQ,"$631,478,344",
,,,,,United Second Nonprofit,Prospect,Contagem,Minas Gerais,001NS00002gm39L,001NS00002gm39LYAQ,"$552,052,007",
,,,Subtotal,Sum,,,,,,,"$4,125,855,705",
,,,,Count,7,,,,,,,
,,Subtotal,,Sum,,,,,,,"$4,329,154,471",
,,,,Count,8,,,,,,,
,,technolgy,Mid-Market,,Redwood First LLP,Prospect,São José dos Campos,São Paulo,001NS00002gm31T,001NS00002gm31TYAQ,"$241,332,651",
,,,Subtotal,Sum,,,,,,,"$241,332,651",
,,,,Count,1,,,,,,,
,,,Enterprise,,Apex Second Industries,Competitor,Uberlândia,Minas Gerais,001NS00002gm2Ve,001NS00002gm2VeYAI,"$810,342,366",
,,,,,Atlas Fourth Ltd.,Competitor,Uberlândia,Minas Gerais,001NS00002gm2Wb,001NS00002gm2WbYAI,"$738,664,414",
,,,,,Bear Fourth Solutions,Competitor,Santos,São Paulo,001NS00002gm2XV,001NS00002gm2XVYAY,"$750,888,839",
,,,,,Blue First Logistics,Competitor,Santos,São Paulo,001NS00002gm2bU,001NS00002gm2bUYAQ,"$992,926,609",
