,,,,,,,,,,,,
,Accounts Verification,,,,,,,,,,,
,As of 2026-05-16 18:31:21 Pacific Standard Time/PST • Generated by Kumba Ndure,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Filtered By,,,,,,,,,,,
,Show: My accounts,,,,,,,,,,,
,Date Field: Created Date equals Custom (4/21/2026 to null),,,,,,,,,,,
,,,,,,,,,,,,
,Account Name  ↑,Account Tier  ↑,Industry  ↑,,Billing Country,Billing State/Province,Billing City,Type,Account ID,Full Salesforce ID,Annual Revenue,
,Acme Corporation,Mid-Market,technolgy,,United States,Florida,Tampa,Customer,001NS00002gm39z,001NS00002gm39zYAA,"$116,359,859",
,,,Subtotal,Sum,,,,,,,"$116,359,859",
,,,,Count,1,,,,,,,
,,Subtotal,,Sum,,,,,,,"$116,359,859",
,,,,Count,1,,,,,,,
,Subtotal,,,Sum,,,,,,,"$116,359,859",
,,,,Count,1,,,,,,,
,Apex Fifth Branch,Enterprise,services,,United States,Ohio,Toledo,Prospect,001NS00002gm2Vc,001NS00002gm2VcYAI,"$851,668,795",
,,,Subtotal,Sum,,,,,,,"$851,668,795",
,,,,Count,1,,,,,,,
,,Subtotal,,Sum,,,,,,,"$851,668,795",
,,,,Count,1,,,,,,,
,Subtotal,,,Sum,,,,,,,"$851,668,795",
,,,,Count,1,,,,,,,
,Apex Fifth Holdings,Enterprise,Entertainment,,United States,Pennsylvania,Philadelphia,Partner,001NS00002gm2VJ,001NS00002gm2VJYAY,"$850,565,942",
,,,Subtotal,Sum,,,,,,,"$850,565,942",
,,,,Count,1,,,,,,,
,,Subtotal,,Sum,,,,,,,"$850,565,942",
,,,,Count,1,,,,,,,
,Subtotal,,,Sum,,,,,,,"$850,565,942",
,,,,Count,1,,,,,,,
,Apex Fifth Industries,Enterprise,Retail,,United States,Pennsylvania,Philadelphia,Partner,001NS00002gm2VK,001NS00002gm2VKYAY,"$652,620,767",
,,,Subtotal,Sum,,,,,,,"$652,620,767",
,,,,Count,1,,,,,,,
,,Subtotal,,Sum,,,,,,,"$652,620,767",
,,,,Count,1,,,,,,,
,Subtotal,,,Sum,,,,,,,"$652,620,767",
,,,,Count,1,,,,,,,
,Apex Fifth LLC,Enterprise,Retail,,United States,New York,Albany,Prospect,001NS00002gm2Ul,001NS00002gm2UlYAI,"$274,875,133",
,,,Subtotal,Sum,,,,,,,"$274,875,133",
,,,,Count,1,,,,,,,
,,Subtotal,,Sum,,,,,,,"$274,875,133",
,,,,Count,1,,,,,,,
,Subtotal,,,Sum,,,,,,,"$274,875,133",
,,,,Count,1,,,,,,,
